Time: 02-02-2022 16:30, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: GET
Time: 02-02-2022 16:30, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 16:30, request URL: http://127.0.0.1:8000/favicon.ico, HTTP method: GET
Time: 02-02-2022 16:30, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: POST
Time: 02-02-2022 16:30, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: GET
Time: 02-02-2022 16:30, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 16:30, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: POST
Time: 02-02-2022 16:30, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: GET
Time: 02-02-2022 16:30, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 16:30, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: POST
Time: 02-02-2022 16:30, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: GET
Time: 02-02-2022 16:30, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 16:30, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: POST
Time: 02-02-2022 16:30, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: GET
Time: 02-02-2022 16:30, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 16:31, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: GET
Time: 02-02-2022 16:31, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 16:31, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: POST
Time: 02-02-2022 16:31, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: GET
Time: 02-02-2022 16:31, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 16:31, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: POST
Time: 02-02-2022 16:31, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: GET
Time: 02-02-2022 16:31, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 16:31, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: POST
Time: 02-02-2022 16:31, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: GET
Time: 02-02-2022 16:31, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 16:31, request URL: http://127.0.0.1:8000/admin/app_news_board/news/2/change/, HTTP method: GET
Time: 02-02-2022 16:31, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 16:31, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: GET
Time: 02-02-2022 16:35, request URL: http://127.0.0.1:8000/admin/app_news_board/, HTTP method: GET
Time: 02-02-2022 16:35, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 16:35, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 16:36, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 16:36, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 16:36, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: POST
Time: 02-02-2022 16:36, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 16:36, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 03-02-2022 16:45, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 03-02-2022 16:45, request URL: http://127.0.0.1:8000/favicon.ico, HTTP method: GET
Time: 03-02-2022 16:45, request URL: http://127.0.0.1:8000/login/, HTTP method: GET
Time: 03-02-2022 16:45, request URL: http://127.0.0.1:8000/login/, HTTP method: GET
Time: 03-02-2022 16:46, request URL: http://127.0.0.1:8000/login/, HTTP method: POST
Time: 03-02-2022 16:53, request URL: http://127.0.0.1:8000/login/, HTTP method: POST
Time: 03-02-2022 16:53, request URL: http://127.0.0.1:8000/login/, HTTP method: POST
Time: 03-02-2022 16:53, request URL: http://127.0.0.1:8000/login/, HTTP method: POST
Time: 03-02-2022 16:53, request URL: http://127.0.0.1:8000/login/, HTTP method: POST
Time: 03-02-2022 16:53, request URL: http://127.0.0.1:8000/login/, HTTP method: POST
Time: 03-02-2022 16:53, request URL: http://127.0.0.1:8000/login/, HTTP method: GET
Time: 03-02-2022 16:53, request URL: http://127.0.0.1:8000/login/, HTTP method: POST
Time: 03-02-2022 16:55, request URL: http://127.0.0.1:8000/login/, HTTP method: POST
Time: 03-02-2022 16:55, request URL: http://127.0.0.1:8000/login/, HTTP method: POST
Time: 03-02-2022 16:55, request URL: http://127.0.0.1:8000/login/, HTTP method: GET
Time: 03-02-2022 16:55, request URL: http://127.0.0.1:8000/login1/, HTTP method: GET
Time: 03-02-2022 16:55, request URL: http://127.0.0.1:8000/login1/, HTTP method: POST
Time: 03-02-2022 16:58, request URL: http://127.0.0.1:8000/login1/, HTTP method: GET
Time: 03-02-2022 16:58, request URL: http://127.0.0.1:8000/login/, HTTP method: GET
Time: 03-02-2022 16:58, request URL: http://127.0.0.1:8000/login/, HTTP method: GET
Time: 03-02-2022 16:58, request URL: http://127.0.0.1:8000/login/, HTTP method: POST
Time: 03-02-2022 16:58, request URL: http://127.0.0.1:8000/accounts/profile/, HTTP method: GET
Time: 03-02-2022 17:00, request URL: http://127.0.0.1:8000/login/, HTTP method: GET
Time: 03-02-2022 17:00, request URL: http://127.0.0.1:8000/login/, HTTP method: POST
Time: 03-02-2022 17:00, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 03-02-2022 17:12, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 03-02-2022 17:12, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 03-02-2022 17:19, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 03-02-2022 17:19, request URL: http://127.0.0.1:8000/logout/, HTTP method: GET
Time: 03-02-2022 17:19, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 03-02-2022 17:19, request URL: http://127.0.0.1:8000/login/, HTTP method: GET
Time: 03-02-2022 17:19, request URL: http://127.0.0.1:8000/login/, HTTP method: POST
Time: 03-02-2022 17:19, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 03-02-2022 17:25, request URL: http://127.0.0.1:8000/2/, HTTP method: GET
Time: 03-02-2022 17:25, request URL: http://127.0.0.1:8000/2/, HTTP method: POST
Time: 03-02-2022 17:25, request URL: http://127.0.0.1:8000/2/, HTTP method: POST
Time: 03-02-2022 17:26, request URL: http://127.0.0.1:8000/2/, HTTP method: GET
Time: 03-02-2022 17:26, request URL: http://127.0.0.1:8000/2/, HTTP method: POST
Time: 03-02-2022 17:26, request URL: http://127.0.0.1:8000/2/, HTTP method: GET
Time: 03-02-2022 18:11, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 03-02-2022 18:11, request URL: http://127.0.0.1:8000/favicon.ico, HTTP method: GET
Time: 03-02-2022 18:11, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 03-02-2022 18:12, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 03-02-2022 18:13, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 03-02-2022 18:13, request URL: http://127.0.0.1:8000/2/, HTTP method: GET
Time: 03-02-2022 18:14, request URL: http://127.0.0.1:8000/2/, HTTP method: GET
